Transaction,A,B,C,D,E,F,G,H,I,J,K,L
1,1,1,1,1,1,1,1,1,1,0,0,0
2,1,1,1,1,1,0,1,1,1,0,0,1
3,1,1,1,0,1,1,1,0,1,0,0,0
4,1,1,0,1,1,1,1,0,1,1,0,0
5,1,1,1,0,1,1,1,0,1,0,1,1
6,1,0,1,1,1,0,1,1,1,0,0,0
7,1,1,1,1,1,0,1,1,1,0,0,1
8,1,1,1,0,1,1,1,0,1,0,0,0
9,1,1,0,1,1,1,1,0,1,1,0,0
10,1,1,1,1,1,1,1,1,1,0,0,1
11,0,1,1,0,1,1,1,1,1,0,0,0
12,1,1,1,1,1,1,0,1,1,0,0,0
13,0,1,1,1,1,1,1,1,1,0,0,0
14,0,1,1,1,1,1,1,1,0,0,1,1
15,1,1,1,1,1,1,1,1,0,0,1,0
16,1,1,1,0,1,1,1,0,1,0,0,0
17,1,1,0,1,1,1,1,0,1,1,0,0
18,1,1,1,0,1,1,1,0,1,0,0,1
19,1,0,1,1,1,0,1,1,1,0,0,0
20,1,1,1,1,1,0,1,1,1,0,0,1
21,0,1,1,1,1,1,1,1,1,0,1,0
22,0,1,1,1,1,1,1,1,1,0,0,1
23,1,1,1,1,1,1,1,1,1,0,1,0
24,1,1,1,1,0,1,1,1,0,1,1,0
25,1,0,1,1,1,1,1,1,1,0,1,1
26,1,1,1,1,1,1,1,1,1,0,0,1
27,0,1,1,0,1,1,1,1,1,1,0,0
28,1,1,1,1,1,1,0,1,1,0,0,0
29,0,1,1,1,1,1,1,1,1,0,0,0
30,0,1,1,1,1,1,1,1,0,0,0,1
31,1,1,0,1,1,1,1,1,0,0,1,0
32,1,1,1,0,1,1,1,0,1,0,0,0
33,1,0,1,1,1,0,1,1,1,1,0,0
34,1,1,1,1,1,0,1,1,1,0,0,1
35,0,1,1,1,1,1,1,1,1,0,0,0
36,0,1,1,1,1,1,1,1,1,0,0,1
37,1,1,1,1,1,1,1,1,1,0,0,0
38,1,1,1,1,0,1,1,1,0,0,1,0
39,1,0,1,1,1,0,1,1,1,0,1,1
40,1,1,1,1,1,1,1,1,1,0,0,1
41,0,1,1,0,1,1,1,1,1,0,0,0
42,1,1,0,1,1,1,1,1,1,0,0,0
43,0,1,1,1,1,1,1,1,1,0,0,0
44,0,1,1,1,1,1,1,1,0,0,0,1
45,1,1,1,1,1,1,1,1,0,0,1,0
46,1,1,1,0,1,1,1,0,1,0,1,0
47,1,1,0,1,1,1,1,0,1,1,0,0
48,1,0,1,1,1,0,1,1,1,0,0,0
49,1,1,1,1,1,0,1,1,1,1,1,0
50,0,1,1,0,1,1,1,0,1,1,1,0
